                        chip high  chip low  control high  control low
chrIII:226123-226322        180.0    1436.0        3160.0       4644.0
chrIII:262497-262696        132.0     435.0        2217.0       3558.0
chrIII:264802-265001        180.0     756.0        2439.0       4547.0
chrIII:265175-265374        119.0     843.0        2959.0       3511.0
chrIII:279838-280037         82.0     597.0        2185.0       3947.0
chrIII:288748-288947        103.0     340.0        1400.0       3340.0
chrIII:299020-299219        206.0   88113.0        2378.0       4292.0
chrIII:309386-309585        169.0     599.0        3233.0       3525.0
chrIV:24520-24719           141.0     278.0         380.0        563.0
chrIV:46337-46536           152.0     267.0         805.0       3373.0
chrIV:56750-56949            79.0     293.0         357.0        556.0
chrIV:73725-73924           128.0     265.0         377.0        558.0
chrIV:89304-89503           123.0     284.0         361.0        551.0
chrIV:109322-109521         245.0     268.0         390.0        538.0
chrIV:116693-116892         117.0     272.0         398.0        540.0
chrIV:128775-128974         141.0     259.0         392.0        549.0
chrIV:131250-131449          78.0     261.0         376.0        547.0
chrIV:140762-140961          95.0     280.0        1874.0       2614.0
chrIV:148133-148332         224.0     300.0        3938.0       5526.0
chrIV:149899-150098         182.0     315.0        3240.0       4271.0
chrIV:150616-150815         161.0     311.0        2708.0       3751.0
chrIV:161288-161487         124.0     309.0        2072.0       2910.0
chrIV:172515-172714          92.0     294.0        3504.0       4272.0
chrIV:203356-203555         143.0     316.0        3078.0       3753.0
chrIV:204180-204379         175.0     298.0        1979.0       3399.0
chrIV:258636-258835         111.0     289.0        2625.0       3798.0
chrIV:273861-274060         138.0     283.0        2588.0       3503.0
chrIV:286819-287018          96.0     275.0        2734.0       3796.0
chrIV:293126-293325         130.0     263.0        2404.0       3233.0
chrIV:326238-326437          98.0     263.0        3082.0       3703.0
chrIV:345048-345247          96.0     337.0        2192.0       4578.0
chrIV:366671-366870         223.0    1714.0        2523.0       3750.0
chrIV:410910-411109         221.0    3430.0        2613.0       4096.0
chrIV:416992-417191         174.0     605.0        2924.0       6195.0
chrIV:439345-439544         150.0     391.0        1830.0       4136.0
chrIV:461701-461900         577.0    2668.0        8061.0      11644.0
chrIV:464417-464616         169.0     740.0        2941.0       4512.0
chrIV:468118-468317         293.0     655.0        2907.0       4559.0
chrIV:480772-480971         267.0     535.0        2478.0       4187.0
chrIV:481759-481958         592.0   14869.0        3154.0       4487.0
chrIV:487004-487203         224.0     731.0        2734.0       4453.0
chrIV:489248-489447          97.0     353.0        1040.0       1958.0
chrIV:531813-532012          58.0     296.0         422.0        679.0
chrIV:535698-535897          53.0     300.0         408.0        688.0
chrIV:539217-539416         328.0   25961.0        2973.0       4869.0
chrIV:542050-542249         167.0     415.0        3879.0       5053.0
chrIV:547157-547356         342.0     732.0        3891.0       5035.0
chrIV:562577-562776         226.0    2029.0        3053.0       5484.0
chrIV:562873-563072         182.0    4510.0        2445.0       3860.0
chrIV:562884-563083          68.0     364.0         573.0        661.0
chrIV:573909-574108         217.0     392.0        2690.0       4312.0
chrIV:591703-591902         271.0    1488.0        2435.0       1644.0
chrIV:598211-598410          99.0     352.0         997.0       2280.0
chrIV:623205-623404         134.0    1207.0        2245.0       4214.0
chrIV:632331-632530         211.0     744.0        2135.0       2970.0
chrIV:634066-634265         398.0     686.0        2908.0       3185.0
chrIV:635949-636148         328.0     950.0        3294.0       3137.0
chrIV:662441-662640         105.0     317.0        1527.0       3707.0
chrIV:681943-682142          96.0     413.0        2482.0       3246.0
chrIV:723281-723480         287.0     522.0        3330.0       3483.0
chrIV:731204-731403         171.0     397.0        1803.0       3063.0
chrIV:739250-739449         195.0     563.0        1881.0       3374.0
chrIV:740058-740257         112.0     522.0        2177.0       2947.0
chrIV:763163-763362         230.0     575.0        2637.0       3990.0
chrIV:793971-794170         179.0     724.0        2347.0       4782.0
chrIV:794267-794466         163.0    1506.0        2215.0       3674.0
chrIV:797453-797652         107.0     310.0        1869.0       2833.0
chrIV:825661-825860         107.0     288.0        1448.0       2408.0
chrIV:842074-842273         185.0     616.0        2574.0       2973.0
chrIV:845746-845945          69.0     242.0        1073.0       2116.0
chrIV:888957-889156         287.0     579.0        2502.0       4156.0
chrIV:893008-893207         356.0    1162.0        2722.0       4130.0
chrIV:928822-929021         547.0     816.0        3561.0       6010.0
chrIV:935809-936008         178.0     824.0        2380.0       4563.0
chrIV:955149-955348         298.0    1191.0        3614.0       4090.0
chrIV:964840-965039         131.0     508.0        1712.0       4217.0
chrIV:970872-971071         126.0     396.0        2116.0       2896.0
chrIV:1003766-1003965       115.0     359.0        1994.0       3234.0
chrIV:1004072-1004271       260.0     633.0        3143.0       4199.0
chrIV:1022497-1022696       248.0   28681.0        2602.0       3320.0
chrIV:1040932-1041131       157.0     504.0        2419.0       2632.0
chrIV:1051276-1051475       247.0     568.0        2936.0       4385.0
chrIV:1055903-1056102       508.0    1615.0        2986.0       4287.0
chrIV:1084717-1084916       132.0     945.0        2379.0       3202.0
chrIV:1092751-1092950       183.0     454.0        2808.0       4588.0
chrIV:1147232-1147431       175.0     566.0        1555.0       2682.0
chrIV:1197379-1197578       220.0     461.0        2686.0       3916.0
chrIV:1213622-1213821        98.0     446.0        1275.0       3544.0
chrIV:1215004-1215203       158.0     316.0        2338.0       2567.0
chrIV:1234335-1234534       279.0     459.0        2433.0       3840.0
chrIV:1239110-1239309       129.0     442.0        2450.0       3210.0
chrIV:1241317-1241516       659.0     816.0        4118.0       4735.0
chrIV:1260299-1260498       153.0    1017.0        2333.0       3392.0
chrIV:1266502-1266701       224.0     756.0        2504.0       4186.0
chrIV:1271075-1271274       208.0     617.0        2472.0       3748.0
chrIV:1279985-1280184       180.0     691.0        3435.0       4478.0
chrIV:1291541-1291740       126.0     555.0        2581.0       3734.0
chrIV:1300615-1300814       220.0     636.0        3626.0       4051.0
chrIV:1315372-1315571       188.0     488.0        2111.0       2715.0
chrIV:1329904-1330103       411.0    1098.0        2265.0       3020.0
chrIV:1337842-1338041       235.0     624.0        2687.0       4677.0
chrIV:1337863-1338062        69.0     267.0         533.0        722.0
chrIV:1345328-1345527       328.0    9871.0        2806.0       2717.0
chrIV:1354229-1354428       206.0     560.0        2538.0       4261.0
chrIV:1357791-1357990       166.0     343.0        1546.0       2332.0
chrIV:1377844-1378043       218.0     566.0        2074.0       3239.0
chrIV:1378228-1378427       134.0     510.0        2021.0       3710.0
chrIV:1387384-1387583       291.0    1294.0        2733.0       3612.0
chrIV:1416614-1416813       281.0     733.0        2572.0       4398.0
chrIV:1420681-1420880       274.0   23058.0        2759.0       4842.0
chrIV:1434204-1434403       174.0     766.0        3229.0       3791.0
chrIV:1452873-1453072       244.0     671.0        1864.0       3579.0
chrIV:1454684-1454883       158.0    1893.0        2922.0       4435.0
chrIV:1455893-1456092       151.0     602.0        1890.0       4496.0
chrIV:1463960-1464159       125.0     446.0        2520.0       2648.0
chrIV:1466779-1466978       894.0    1166.0        4027.0       4193.0
chrIV:1469035-1469234       139.0    1138.0        2654.0       3396.0
chrIV:1497770-1497969       155.0     518.0        2540.0       3047.0
chrIV:1521372-1521571       140.0     475.0        1551.0       3221.0
chrIV:1529963-1530162        63.0     253.0         346.0        575.0
chrV:1979-2178              104.0     243.0         341.0        592.0
chrV:5291-5490               61.0     253.0         345.0        600.0
chrV:13382-13581             70.0     248.0         344.0        609.0
chrV:35795-35994             71.0     231.0         345.0        593.0
chrV:43195-43394            267.0     220.0         343.0        614.0
chrV:67112-67311            408.0     233.0         349.0        630.0
chrV:69186-69385            209.0     228.0         473.0       1642.0
chrV:70229-70428            222.0     225.0         376.0        629.0
chrV:92528-92727            145.0     207.0         368.0        612.0
chrV:104945-105144          176.0     202.0         368.0        584.0
chrV:106951-107150          144.0     225.0         368.0        960.0
chrV:124287-124486          168.0     222.0        2279.0       3367.0
chrV:124978-125177          162.0     228.0        2795.0       4451.0
chrV:151891-152090           71.0     242.0        1067.0       1961.0
chrV:153066-153265          229.0     264.0        3252.0       2810.0
chrV:169984-170183          132.0     275.0        2352.0       4331.0
chrV:190586-190785          257.0     287.0        2892.0       3777.0
chrV:191930-192129          175.0     286.0        2627.0       3456.0
chrV:191987-192186          170.0     286.0        1366.0       1401.0
chrV:193538-193737          176.0     296.0        2699.0       3669.0
chrV:196315-196514          139.0     298.0        2207.0       3841.0
chrV:203796-203995           83.0     390.0        2664.0       4311.0
chrV:237257-237456           88.0     641.0        2115.0       3607.0
chrV:254651-254850           97.0    1121.0        2803.0       4022.0
chrV:258159-258358          115.0    2140.0        2080.0       3359.0
chrV:260165-260364          202.0     747.0        2874.0       4938.0
chrV:265911-266110          131.0   14798.0        2270.0       3082.0
chrV:271197-271396          150.0     454.0        2306.0       3746.0
chrV:275614-275813          160.0     871.0        2561.0       3382.0
chrV:276206-276405          118.0     558.0        1711.0       4146.0
chrV:280836-281035          154.0    1901.0        2112.0       2847.0
chrV:288844-289043          123.0     618.0        3103.0       5030.0
chrV:302551-302750          129.0    8069.0        2741.0       4366.0
chrV:307403-307602          194.0     458.0        2470.0       4216.0
chrV:313334-313533          225.0    1122.0        3066.0       3746.0
chrV:319457-319656          117.0     588.0        2311.0       3132.0
chrV:337977-338176          277.0     525.0        3126.0       3936.0
chrV:342559-342758          266.0    1094.0        3507.0       4214.0
chrV:342597-342796          108.0     483.0         821.0       1172.0
chrV:358278-358477          184.0     829.0        3556.0       4359.0
chrV:359085-359284          142.0     880.0        2731.0       4341.0
chrV:369392-369591          166.0     597.0        1510.0       4104.0
chrV:375108-375307           99.0     582.0        1873.0       3429.0
chrV:386899-387098          201.0     588.0        2355.0       4648.0
chrV:386906-387105           52.0     360.0         352.0        701.0
chrV:394056-394255          223.0     538.0        2196.0       3118.0
chrV:409420-409619          150.0     497.0        2655.0       3494.0
chrV:411292-411491          344.0     983.0        2992.0       4463.0
chrV:414666-414865          452.0     802.0        2971.0       4470.0
chrV:416346-416545          223.0     926.0        1997.0       3509.0
chrV:462451-462650          371.0    1293.0        3385.0       4257.0
chrV:489964-490163          231.0     796.0        3181.0       4824.0
chrV:506146-506345          407.0     692.0        2747.0       3644.0
chrV:519245-519444          229.0     548.0        2486.0       3112.0
chrV:545117-545316          119.0     867.0        1355.0       1690.0
chrV:562680-562879          179.0    1779.0        2776.0       3472.0
chrV:569095-569294          196.0     915.0        2817.0       3857.0
chrV:569941-570140          157.0     548.0        2023.0       3048.0
chrV:571376-571575           56.0     288.0         356.0        530.0
chrV:574780-574979           63.0     266.0         373.0        514.0
chrVI:1186-1385              72.0     269.0         383.0        518.0
chrVI:15503-15702           178.0     298.0         391.0        555.0
chrVI:21251-21450           197.0     291.0         395.0        537.0
chrVI:31728-31927            96.0     289.0         396.0        532.0
chrVI:63219-63418           177.0     297.0         409.0        550.0
chrVI:73891-74090           141.0     280.0         396.0        543.0
chrVI:74709-74908           209.0     302.0         421.0        555.0
chrVI:84186-84385           190.0     409.0         429.0        534.0
chrVI:90293-90492           186.0     539.0         427.0        545.0
chrVI:103292-103491          88.0     339.0         421.0        560.0
chrVI:103303-103502          55.0     260.0         428.0        567.0
chrVI:131401-131600         180.0   21924.0         866.0       2391.0
chrVI:148414-148613          71.0     240.0         915.0       1343.0
chrVI:163167-163366         268.0     479.0        3587.0       5307.0
chrVI:175987-176186         159.0     465.0        4450.0       5944.0
chrVI:184671-184870         246.0     508.0        3090.0       4527.0
chrVI:188255-188454          70.0     240.0        2405.0       2542.0
chrVI:195111-195310         103.0     467.0        2824.0       3650.0
chrVI:209452-209651         159.0     435.0        3669.0       4777.0
chrVI:212965-213164          88.0     478.0        3041.0       3798.0
chrVI:212983-213182          70.0     239.0         663.0        769.0
chrVI:213413-213612         192.0     450.0        2913.0       5092.0
chrVI:224923-225122         245.0    1114.0        2361.0       2050.0
chrVI:228066-228265         225.0     522.0        2532.0       3313.0
chrVI:234358-234557         160.0     755.0        3076.0       4114.0
chrVI:235996-236195         161.0     563.0        2169.0       3306.0
chrVI:248138-248337          91.0     368.0        1603.0       2509.0
chrVI:255407-255606         323.0    1728.0        2489.0       3217.0
chrVI:263168-263367         142.0     484.0        2507.0       3118.0
chrVII:7583-7782             69.0     254.0         428.0        536.0
chrVII:34822-35021           81.0     273.0         424.0        520.0
chrVII:41773-41972          124.0     242.0         433.0        519.0
chrVII:46552-46751           94.0     239.0         422.0        522.0
chrVII:68110-68309          187.0     251.0         414.0        536.0
chrVII:94635-94834          295.0     250.0         415.0        564.0
chrVII:131490-131689        140.0     237.0         403.0        572.0
chrVII:136309-136508        398.0     264.0         399.0        566.0
chrVII:142617-142816        181.0     260.0         379.0        536.0
chrVII:194010-194209        134.0     264.0         386.0        513.0
chrVII:226109-226308         96.0     265.0        1512.0       2543.0
chrVII:239125-239324        121.0     268.0        2304.0       3523.0
chrVII:251709-251908        113.0     254.0        1798.0       3767.0
chrVII:268995-269194        102.0     237.0        1613.0       2407.0
chrVII:271286-271485        224.0     232.0        4032.0       4264.0
chrVII:271601-271800        353.0     239.0        3919.0       4728.0
chrVII:271819-272018        185.0     215.0        2951.0       2164.0
chrVII:271900-272099        145.0     221.0        1577.0       1885.0
chrVII:322825-323024        177.0     234.0        2911.0       3786.0
chrVII:343828-344027        156.0     237.0        1926.0       3577.0
chrVII:360744-360943        189.0     245.0        2593.0       3693.0
chrVII:365258-365457        573.0     258.0        3239.0       6187.0
chrVII:384612-384811        152.0     244.0        2633.0       3360.0
chrVII:396692-396891        212.0     236.0        2975.0       3690.0
chrVII:397821-398020         89.0     285.0        1432.0       2004.0
chrVII:415971-416170        229.0     379.0        2293.0       2609.0
chrVII:419591-419790        240.0     990.0        3510.0       4536.0
chrVII:433336-433535        154.0    2722.0        2765.0       2869.0
chrVII:444141-444340        190.0     836.0        4126.0       3820.0
chrVII:444785-444984        201.0     448.0        2816.0       5036.0
chrVII:453913-454112        158.0     645.0        3267.0       4344.0
chrVII:496933-497132         62.0     197.0         878.0       1623.0
chrVII:521823-522022        142.0     330.0        2289.0       4931.0
chrVII:547277-547476        168.0     833.0        3304.0       3325.0
chrVII:554088-554287        205.0     550.0        2714.0       4226.0
chrVII:583330-583529        262.0     432.0        2721.0       4893.0
chrVII:591541-591740        373.0     897.0        4025.0       4637.0
chrVII:591789-591988        158.0     456.0        2229.0       3466.0
chrVII:609824-610023       1491.0    2316.0        3869.0       3736.0
chrVII:639099-639298        207.0     506.0        2173.0       3752.0
chrVII:644728-644927         82.0     441.0        1018.0       1935.0
chrVII:683106-683305         85.0     233.0        2027.0       3388.0
chrVII:683248-683447        127.0     281.0        1149.0       1981.0
chrVII:712733-712932         88.0     235.0        1758.0       3136.0
chrVII:719506-719705        207.0     532.0        2874.0       4467.0
chrVII:731296-731495        330.0     420.0        2116.0       3533.0
chrVII:747256-747455        132.0     292.0        2312.0       4090.0
chrVII:748920-749119        148.0     413.0        2050.0       5414.0
chrVII:751023-751222        131.0     558.0        1344.0       3048.0
chrVII:785700-785899        583.0    8771.0        2780.0       4196.0
chrVII:785850-786049        261.0    2446.0        2709.0       3070.0
chrVII:798040-798239        331.0    1600.0        3388.0       5422.0
chrVII:809199-809398        325.0     874.0        4094.0       4161.0
chrVII:841551-841750        285.0     429.0        2906.0       4627.0
chrVII:854005-854204        227.0     372.0        2070.0       4545.0
chrVII:890360-890559        422.0     652.0        3431.0       4702.0
chrVII:895117-895316        377.0     613.0        3076.0       4135.0
chrVII:902330-902529        176.0     397.0        2613.0       3865.0
chrVII:905602-905801        303.0     746.0        3397.0       3480.0
chrVII:905920-906119        614.0     795.0        3873.0       3938.0
chrVII:942266-942465        225.0     421.0        2139.0       3763.0
chrVII:951312-951511        112.0     370.0        1870.0       2631.0
chrVII:958451-958650        206.0   23760.0        2386.0       4562.0
chrVII:968658-968857        228.0     457.0        1957.0       2931.0
chrVII:1000173-1000372      245.0    9913.0        2583.0       3638.0
chrVII:1021266-1021465      631.0     473.0        2289.0       4667.0
chrVII:1051221-1051420      244.0     546.0        1945.0       2975.0
chrVII:1065088-1065287      262.0     657.0        3120.0       2964.0
chrVII:1088846-1089045       59.0     173.0         396.0        479.0
chrVIII:1860-2059            56.0     185.0         402.0        498.0
chrVIII:25681-25880          93.0     206.0         399.0        519.0
chrVIII:72301-72500          88.0     199.0         405.0        528.0
chrVIII:79740-79939          67.0     194.0         405.0        500.0
chrVIII:98533-98732         450.0     170.0         398.0        485.0
chrVIII:98560-98759         139.0     167.0         406.0        495.0
chrVIII:107515-107714        85.0     162.0         401.0        473.0
chrVIII:119934-120133       380.0     157.0         376.0        483.0
chrVIII:123785-123984        99.0     181.0         365.0        507.0
chrVIII:144661-144860       188.0     187.0         375.0        523.0
chrVIII:157828-158027       140.0     200.0         423.0        528.0
chrVIII:162093-162292       231.0     198.0        1673.0       4551.0
chrVIII:174612-174811       224.0     197.0        3655.0       3995.0
chrVIII:174661-174860        91.0     185.0        1127.0       1585.0
chrVIII:175232-175431       195.0     209.0        3195.0       3135.0
chrVIII:190203-190402       150.0     214.0        2954.0       3899.0
chrVIII:198577-198776       107.0     223.0        1984.0       2672.0
chrVIII:218209-218408       251.0     249.0        2741.0       2743.0
chrVIII:236076-236275       206.0     253.0        3863.0       3645.0
chrVIII:247433-247632       130.0     266.0        2010.0       3940.0
chrVIII:258712-258911       101.0     267.0        2050.0       3308.0
chrVIII:263075-263274       118.0     281.0        2987.0       4227.0
chrVIII:271971-272170       107.0     247.0        2730.0       4211.0
chrVIII:272326-272525       212.0     242.0        2961.0       3690.0
chrVIII:279631-279830       141.0     225.0        1643.0       4621.0
chrVIII:283387-283586        99.0     217.0        2240.0       2886.0
chrVIII:302461-302660       177.0     513.0        3324.0       4695.0
chrVIII:313608-313807       253.0     279.0        2651.0       4285.0
chrVIII:320430-320629       204.0     648.0        2257.0       3281.0
chrVIII:321028-321227       260.0     508.0        2685.0       3322.0
chrVIII:328436-328635       109.0     668.0        2085.0       3558.0
chrVIII:335925-336124       114.0     574.0        2163.0       4049.0
chrVIII:354936-355135       124.0     586.0        2492.0       4510.0
chrVIII:369381-369580       108.0     518.0        2694.0       4568.0
chrVIII:371871-372070       159.0     426.0        3033.0       3848.0
chrVIII:375028-375227       121.0  162582.0        3023.0       3792.0
chrVIII:375087-375286        76.0   47958.0        1099.0       1689.0
chrVIII:375144-375343        55.0   16169.0        1103.0       1237.0
chrVIII:375358-375557       118.0    5347.0        2436.0       3442.0
chrVIII:383362-383561        91.0     337.0        1793.0       3374.0
chrVIII:418097-418296       176.0     568.0        2310.0       3428.0
chrVIII:439794-439993       196.0     609.0        2155.0       3763.0
chrVIII:446462-446661       222.0     629.0        2578.0       4470.0
chrVIII:477127-477326       159.0     563.0        1926.0       3547.0
chrVIII:489363-489562       229.0     403.0        2217.0       3771.0
chrVIII:508146-508345       314.0     660.0        2181.0       4045.0
chrVIII:509839-510038       251.0     473.0        2399.0       3774.0
chrVIII:527750-527949       170.0     462.0        1937.0       2508.0
chrVIII:540247-540446        63.0     241.0         353.0        523.0
chrVIII:551718-551917        75.0    1421.0         534.0        742.0
chrVIII:560299-560498        58.0     267.0         362.0        538.0
chrIX:2303-2502              65.0     266.0         354.0        510.0
chrIX:21653-21852            79.0     256.0         358.0        523.0
chrIX:76886-77085           231.0     244.0         357.0        548.0
chrIX:96236-96435           233.0     231.0         363.0        548.0
chrIX:116842-117041         112.0     237.0         375.0        565.0
chrIX:117687-117886         114.0     244.0         377.0        545.0
chrIX:117701-117900          63.0     246.0         386.0        543.0
chrIX:118153-118352         102.0     246.0         767.0       1680.0
chrIX:121159-121358         113.0     250.0         870.0       1644.0
chrIX:128116-128315         487.0     244.0         385.0        512.0
chrIX:135281-135480         371.0     258.0         385.0        540.0
chrIX:139116-139315         121.0     272.0         392.0        550.0
chrIX:144435-144634         110.0     262.0         723.0       1743.0
chrIX:145314-145513         151.0     262.0        3182.0       3676.0
chrIX:166034-166233          69.0     246.0        1584.0       1819.0
chrIX:179168-179367         169.0     262.0        2989.0       3357.0
chrIX:179415-179614         130.0     250.0        2945.0       3406.0
chrIX:188554-188753         176.0     245.0        3721.0       3832.0
chrIX:194045-194244         212.0     333.0        2190.0       4033.0
chrIX:199481-199680         122.0     260.0        2896.0       3814.0
chrIX:212612-212811         176.0     266.0        3520.0       4995.0
chrIX:222684-222883         138.0     286.0        2360.0       4551.0
chrIX:267931-268130         182.0     281.0        2656.0       4057.0
chrIX:268376-268575         159.0     279.0        2876.0       5221.0
chrIX:269774-269973         166.0     290.0        3018.0       3403.0
chrIX:270203-270402         201.0     283.0        3088.0       4693.0
chrIX:275428-275627         133.0     279.0        2822.0       3802.0
chrIX:292239-292438         105.0     275.0        1656.0       2732.0
chrIX:309972-310171         255.0     273.0        2954.0       5181.0
chrIX:318245-318444         144.0     870.0        2792.0       4126.0
chrIX:330449-330648         143.0     502.0        2675.0       4286.0
chrIX:355533-355732          63.0     366.0         936.0       1671.0
chrIX:365886-366085         194.0     867.0        3845.0       4456.0
chrIX:384235-384434         117.0     568.0        2546.0       3719.0
chrIX:384577-384776         209.0    1127.0        3263.0       5362.0
chrIX:406752-406951         198.0     807.0        2971.0       4175.0
chrIX:420584-420783         162.0    1500.0        3543.0       4672.0
chrIX:432796-432995          59.0     247.0         626.0       1283.0
chrIX:436075-436274         132.0     570.0        3451.0       4494.0
chrX:2286-2485               59.0     215.0         369.0        500.0
chrX:28090-28289            110.0     206.0         374.0        494.0
chrX:37709-37908            167.0     201.0         370.0        509.0
chrX:76654-76853            218.0     204.0         372.0        516.0
chrX:79514-79713            213.0     202.0         380.0        505.0
chrX:99292-99491            197.0     196.0         370.0        497.0
chrX:104546-104745           63.0     198.0         377.0        490.0
chrX:106095-106294          135.0     198.0         379.0        494.0
chrX:123300-123499          200.0     203.0         371.0        479.0
chrX:123414-123613          118.0     204.0         368.0        502.0
chrX:129564-129763           95.0     214.0         346.0       1188.0
chrX:133261-133460          123.0     228.0        2023.0       3361.0
chrX:136849-137048          110.0     243.0        1864.0       2606.0
chrX:147350-147549          208.0     255.0        3592.0       4496.0
chrX:160098-160297          165.0     286.0        3710.0       3819.0
chrX:160116-160315           72.0     269.0         494.0        890.0
chrX:168771-168970          203.0     237.0        2572.0       3882.0
chrX:177965-178164          126.0     249.0        1468.0       3402.0
chrX:192243-192442          135.0     259.0        2598.0       3541.0
chrX:192845-193044           94.0     255.0        3843.0       5762.0
chrX:195376-195575          257.0     286.0        2736.0       3677.0
chrX:236360-236559          175.0     267.0        3437.0       5162.0
chrX:236620-236819          190.0     495.0        3080.0       3036.0
chrX:260794-260993           88.0     756.0        2305.0       3526.0
